description,amount,date,category
PAYMENTTOCANADARECOVERYSICKNESSBENEFITCRSBFORMarch2025,528.24,2026-05-28,Government Support and Pensions
ATMCashDEPAlRayaMarket156255,-22.95,2026-05-04,Groceries
CIBC INSURANCE CANADA SERVICE CHARGE,-883.4,2026-02-08,Insurance
PAYMENT TO MINISTRY OF AWQAF AND RELIGIOUS AFFAIRS FOR March 2020,-58.6,2026-05-25,Government Services
THINK RESEARCH CANADA *8152,-2753.43,2026-03-23,Medical and Health
www.bellcanadapayroll.com,21742.65,2026-04-28,Salary / Payroll
POS 525188-thw-squarecanada,-20.79,2026-02-28,Other / Uncategorized
RECEIPT EMPIRE LIFE CANADA WHITBY,-424.93,2026-01-05,Insurance
MASTERCARD AZIMUT HOTEL MUSCAT *5396,-1881.0,2026-02-04,Travel and Hotels
SHAWARMA FACTORY *2335,-163.26,2026-02-21,Dining and Cafes
@alfalahfuelstation,-32374.86,2025-12-10,Fuel and Transport
ATM Cash DEP Public Authority Pension Oman 911557,885.95,2025-12-28,Government Support and Pensions
RBCRR_69,-412.01,2026-03-07,Savings and Investments
POS PAN HOME OMAN **2846,-430.13,2026-02-16,Home Goods and Furniture
Wallet Trx 5512178625887 ACCES EMPLOYMENT CANADA,-2706.94,2025-12-24,Charity Donations
PC FINANCIAL_80785,-302.75,2026-02-13,Bank Charges
POSPURCHASECITYOFOTTAWAUTILITIESApr10,-117.46,2026-03-14,Housing and Utilities
POSPURCHASEBUY-LOWFOODSJan12,-161.66,2026-01-06,Groceries
POSPURCHASEINSANIYARDIMVAKFIOMANJul17,-6570.46,2025-12-03,Charity Donations
VISION INSURANCE OMAN_49336,-185.88,2025-11-09,Insurance
@lowescanada,-268.12,2026-03-03,Home Goods and Furniture
ALBIRUNIHOSPITAL_HAW,-2283.19,2025-12-07,Medical and Health
MASTERCARD DANUBE HOME OMAN *2434,-325.82,2026-02-20,Home Goods and Furniture
BUY-LOWFOODSPOSBURLINGTONONTARIO,-78.25,2025-12-09,Groceries
txn AXA GULF,-796.91,2026-03-02,Insurance
SBA Grant Equivalent Oman x9920,5682.1,2026-03-30,Business or Freelance Income
NIAGARAFALLSADVENTURE/AURORA,-46.04,2026-04-02,Entertainment and Leisure
@canadiancancersociety,-5078.12,2026-05-02,Charity Donations
www.bridgewaterbankcanada.com,-336.24,2026-02-01,Bank Charges
PASI SALARY SUPPLEMENT *7820,10096.55,2026-12-30,Salary / Payroll
MIDAS FURNITURE#7554,-136.49,2026-03-06,Home Goods and Furniture
GSTHSTCREDITCANADA_80849,634.77,2025-01-28,Government Support and Pensions
FreelanceMarketingIncomeStore#56,1082.72,2026-04-30,Business or Freelance Income
Wallet Trx 2380565530525 COAST CAPITAL RRSP,-82.56,2026-04-26,Savings and Investments
RECEIVED_FROM_Business_Grant_Income_Oman,6397.07,2026-04-29,Business or Freelance Income
PUR-CIGNAOMA,-183.1,2025-12-10,Insurance
txn OMAN UNITED INSURANCE,-426.25,2026-04-05,Insurance
www.omantel.com,-107.64,2026-05-08,Telecom
Teksavvy Canada Store #584,-157.79,2026-02-07,Telecom
E-TRANSFER ROYAL COURT PENSION OMAN,705.71,2025-04-30,Government Support and Pensions
RBCHOMEEQUITYCANADA2005,-16525.58,2026-04-05,Loan Payments
E-TRANSFER LIFELINE HOSPITAL,-1589.18,2025-12-09,Medical and Health
PUR-UNIVERSI,-6233.15,2026-03-03,Education
royal hospital oman debit,-3681.78,2026-03-04,Medical and Health
DOMINO'S CANADA#1865,-169.95,2025-12-07,Dining and Cafes
POS SULTAN QABOOS UNIVERSITY HOSPITAL **3526,-2585.27,2026-05-08,Medical and Health
WALCr4750468090563BM,-12622.11,2025-11-03,Education
AL HAMRA SUPERMARKET_GRA,-82.23,2026-03-05,Groceries
INTERACINSANIYARDIMVAKFIOMANBURNABY,-2062.67,2026-05-06,Charity Donations
ATM Cash DEP Substack Canada 180043,-17.17,2026-05-11,Other / Uncategorized
Oman Reinsurance Company x3977,-619.13,2026-03-22,Insurance
Google Play Canada x5527,-64.4,2026-05-24,Entertainment and Leisure
Al Arouba Pharmacy x6955,-1807.46,2026-01-24,Medical and Health
www.lendingloopcanada.com,-4024.69,2026-04-27,Loan Payments
E-TRANSFER HIGHWAY 400 INCIDENT CANADA,-7919.14,2025-12-01,Vehicle Loans and Fines
E-TRANSFER SAIT CALGARY,-9909.53,2026-02-07,Education
UKG PAYROLL CANADA#3826,22500.37,2026-02-28,Salary / Payroll
social allowance oman crd,234.7,2026-12-29,Government Support and Pensions
MASTERCARD SHELL CANADA *1535,-12259.64,2026-01-16,Fuel and Transport
POS RENT PAYMENT LONDON ONTARIO **9528,-2407.44,2026-02-10,Rent Payments
txn MARSH CANADA,-984.45,2026-02-23,Insurance
GICINVESTMENTTDCARD*3050,-1554.22,2026-04-04,Savings and Investments
INTERAC 99DESIGNS INCOME NAPANEE,2305.83,2026-11-28,Business or Freelance Income
Al Maha Auto Loan Store #852,-5479.21,2026-03-01,Vehicle Loans and Fines
txn PDO MONTHLY PAY,25191.51,2026-02-28,Salary / Payroll
PUR-CAMOSUNC,-4626.73,2026-04-06,Education
ATM Cash Withdrw Humi Payroll Canada 735594 16:23:07,26418.51,2026-01-28,Salary / Payroll
E-TRANSFERHAFEZRESTAURANT,-194.8,2025-12-04,Dining and Cafes
PAYMENTTOFREELANCEDESIGNINCOMEFORMarch2024,2456.32,2026-03-28,Business or Freelance Income
bellapizzaomanMUTTRAH,-73.62,2026-01-07,Dining and Cafes
ATM Cash DEP Al Aman Charity Oman 526792,-9175.79,2026-05-09,Charity Donations
TRF BADR AL SAMAA ROYAL HOSPITAL,-2755.83,2026-02-08,Medical and Health
CROHN'SCOLITISCANADALLC,-2653.1,2026-03-03,Charity Donations
Oman Telecom Salary x9580,15063.69,2026-12-28,Salary / Payroll
certifiedchequefeecanadaGRANBY,-47.74,2026-04-06,Bank Charges
NATIONAL LIFE GENERAL INSURANCE OMAN_ANC,-741.6,2026-05-26,Insurance
CLOVE_39,-462.91,2026-04-07,Other / Uncategorized
THEWO_96,-232.58,2026-03-21,Dining and Cafes
RECEIVED_FROM_Mzec_Electricity,179.15,2026-01-28,Housing and Utilities
PHILIPPINESCHOOLMUSCATSERVICECHARGE,-835.01,2026-04-23,Education
VISA DEBIT DAILY BREAD FOOD BANK TORONTO CAM,-8550.51,2026-01-09,Charity Donations
POS 412621-ENBRIDGE GAS - 115 P O BOX 622,-48.83,2026-03-02,Housing and Utilities
Alta West Mortgage Canada Trnsfr,5694.13,2026-03-28,Loan Payments
EQUITABLEBANKCANADA_COU,-93.23,2026-01-16,Bank Charges
Alterna Financial Canada Store #61,-46.35,2026-04-06,Bank Charges
VISA DEBIT WEEBLY CANADA LON,-36.66,2026-01-12,Other / Uncategorized
ibrimunicipalityPORT MOODY,-47.65,2026-05-14,Housing and Utilities
POS PURCHASE VIRGIN PLUS CANADA Jan 6,-26.55,2026-03-10,Telecom
TransferfromMcNallyRobinsonCanada,-353.99,2026-05-11,Shopping & Retail
Universite De Montreal Store #631,-9206.4,2026-03-15,Education
TRF RENT PAYMENT NORTH YORK,-576.17,2026-02-06,Rent Payments
ATM Cash DEP Brampton Food Bank 404751,-3534.04,2025-12-07,Charity Donations
ARCHAMBAULTCANADA_REG,-57.82,2026-05-07,Shopping & Retail
eicompassionatecarecanadaSASKATOON,158.91,2026-03-28,Government Support and Pensions
RECEIVED_FROM_New_Brunswick_Social_Assistance,410.61,2026-01-30,Government Support and Pensions
ASHLEY HOMESTORE CANADA#5448,-315.46,2025-11-02,Home Goods and Furniture
E-TRANSFER OMAN INTERNATIONAL BANK,-456.57,2026-02-09,Bank Charges
PEACE HILLS INSURANCE CANADA:REC,-139.6,2026-05-07,Insurance
SALAMMOBILE RECHARGE_DAR,-173.64,2025-12-18,Telecom
KINGSTONTRANSIT/SUWAIQ,-35780.78,2026-02-28,Fuel and Transport
TRF TO PUBLIC AUTHORITY PENSION OMAN,718.09,2026-03-28,Government Support and Pensions
www.banknizwapersonalfinance.com,-555.66,2026-03-28,Loan Payments
POS547545-TWITCHPAYOUTCANADA-952POBOX970,4279.52,2026-01-29,Business or Freelance Income
Payment:ETSENGINEERINGMONTREAL,-9378.66,2026-04-03,Education
NEW LOOK EYEWEAR CANADA_15898,-818.02,2026-01-05,Medical and Health
POS 264867-thw-clevelandcliniccanada,-4736.23,2026-01-09,Medical and Health
@nizwafurniture,-141.27,2026-02-07,Home Goods and Furniture
Freelance Accounting Income Trnsfr,6638.94,2025-03-30,Business or Freelance Income
ATM Cash DEP B2B Bank Canada 326709,-383.59,2026-01-04,Bank Charges
VISADEBITALIZZISLAMICBANKVER,-307.39,2026-05-08,Bank Charges
Richardson Wealth Canada - payment,-1480.09,2026-04-22,Savings and Investments
WALCr7950410903809BM,-9685.78,2026-02-01,Vehicle Loans and Fines
ALMUS_61,-13558.19,2026-01-20,Education
SPICEJETOMANTXNID:6292602,-3202.62,2026-01-11,Travel and Hotels
Dhofar University x8658,-10420.57,2025-12-03,Education
E-TRANSFERARTHRITISSOCIETYCANADA,-2874.14,2026-04-17,Charity Donations
Muscat International School Trnsfr,4186.48,2025-05-30,Education
MASTERCARD PLANET ORGANIC CANADA *6015,-41.33,2026-01-03,Groceries
@googleplaycanada,-6.88,2026-03-07,Entertainment and Leisure
DAVID SUZUKI FOUNDATION TXNID:7342257,-103.21,2025-11-09,Charity Donations
PUR-UNIVERSI,-1493.33,2026-02-08,Education
OMAN ROAD FUND_ST.,-12000.5,2026-02-10,Vehicle Loans and Fines
POS150053-thw-rentpaymentbrampton,-2141.08,2026-05-21,Rent Payments
BANKNIZWASERVICECHARGE,-9.78,2026-05-16,Bank Charges
oman botanical garden trsf,-18.93,2026-02-02,Entertainment and Leisure
POSST.CHRISTOPHERHOUSE**6582,-8157.68,2026-03-03,Charity Donations
TRANSLINKVANCOUVER_MAP,-10899.38,2026-01-02,Fuel and Transport
SKILLUP INSTITUTE / VAUGHAN,-12274.01,2025-12-01,Education
rosettastonecanadatrsf,-757.18,2026-04-23,Other / Uncategorized
ONLINE PURCHASE 99DESIGNS INCOME,2205.04,2025-12-30,Business or Freelance Income
@gulfair,-4512.99,2026-04-04,Travel and Hotels
Wallet Trx 2688568250534 NBO PERSONAL LOAN,-15285.52,2026-04-21,Loan Payments
www.rogersignitetv.com,-132.52,2026-02-19,Telecom
POS178432-thw-torontohydrosalary,38120.24,2025-05-29,Salary / Payroll
MASTERCARDBAUSHERREALESTATE*2432,-1391.83,2026-04-24,Rent Payments
ATCOELECTRICCANADATXNID:1763024,-35.89,2025-11-12,Housing and Utilities
@almadinatakaful,-696.08,2026-04-23,Insurance
Al Sultana Restaurant Store #941,-107.27,2025-12-05,Dining and Cafes
QURUM BEACH CAFE PAYMENT,-215.41,2026-05-05,Dining and Cafes
rogers international roaming payment,-115.63,2025-12-06,Telecom
ATM Cash DEP David Suzuki Foundation 983298,-1269.27,2025-12-02,Charity Donations
INTERACMAGICALCREDITCANADASAGUENAY,14205.55,2026-04-30,Loan Payments
shangri-latorontocrd,-3565.33,2026-01-03,Travel and Hotels
TRF TO CANADA WORKERS BENEFIT CWB,597.39,2026-01-29,Government Support and Pensions
RECEIPT DISABLED CHILDREN ASSOCIATION OMAN SWIFT CURRENT,-3961.17,2026-05-28,Charity Donations
TRF TO ROGERS DEVICE PROTECTION,-59.08,2026-04-09,Telecom
E-TRANSFER TOYS R US OMAN,-86.5,2026-01-17,Shopping & Retail
ZENDESK OMAN SERVICE CHARGE,-995.69,2026-02-28,Other / Uncategorized
TRF TO BURGER KING OMAN,-266.79,2025-11-07,Dining and Cafes
BANKMUSCATMARAFEDHFUND_20639,-1411.86,2026-04-26,Savings and Investments
E-TRANSFER ALIZZ CAR FINANCE,-11249.77,2025-12-09,Loan Payments
CebaRepaymentReversalCanadaStore#258,4240.59,2026-05-30,Business or Freelance Income
Vehicle Inspection Fees Oman - payment,-12854.23,2026-04-05,Vehicle Loans and Fines
ONLINE PURCHASE AL KHOUD MARKET,-108.62,2026-05-13,Groceries
POS 304442-thw-saitcalgary,-6953.58,2025-11-09,Education
txn GOVERNMENT EMPLOYEE PENSION OMAN,987.74,2025-04-29,Government Support and Pensions
WALCr7009066785387BM,24621.94,2026-03-29,Salary / Payroll
INTERAC BELL SATELLITE CANADA AMHERST,-110.67,2026-04-28,Telecom
JUST ENERGY CANADA 1907,-29.01,2026-01-06,Housing and Utilities
MASTERCARDNATIONALGASCOMPANYOMAN*9924,-133.05,2026-02-28,Housing and Utilities
RECEIVED_FROM_Muscat_Realty,960.52,2026-03-29,Rent Payments
ATM Cash Withdrw Pan Emirates Furniture 576721 02:28:44,-240.41,2026-04-03,Home Goods and Furniture
Canadian Tire Home Canada Store #922,-490.86,2025-11-22,Home Goods and Furniture
TransferfromAlQurumColdStore,-238.27,2026-02-07,Groceries
POS 625094-VODAFONE OMAN - 340 P O BOX 603,-16.92,2026-04-17,Telecom
VISA DEBIT AL ADIL TRADING OMAN LON,-389.35,2025-12-03,Home Goods and Furniture
COSTA_38,-51.24,2026-01-10,Dining and Cafes
PUR-WESTINHA,-2521.85,2025-12-06,Travel and Hotels
shinascollegeoftechnologydebit,-13908.24,2026-02-02,Education
MASTERCARDCITYOFCALGARYWATER*7445,-213.07,2026-01-02,Housing and Utilities
PAYMENT TO PROVIDENCE HEALTHCARE FOR July 2022,-3675.01,2026-04-05,Medical and Health
POS 766917-thw-mediumcanada,-896.72,2025-11-04,Other / Uncategorized
MASTERCARD MCMASTER UNIVERSITY *2723,-4072.48,2026-02-08,Education
ONLINE PURCHASE RUSTAQ MUNICIPALITY,-25.15,2026-01-19,Government Services
@muscatfurnitureco,-441.65,2025-11-27,Home Goods and Furniture
INTERAC SCOTIABANK CANADA CANMORE,-313.74,2026-03-01,Bank Charges
Wallet Trx 8791369239279 DHOFAR MUNICIPALITY,-973.39,2026-05-15,Government Services
Hyatt Place Calgary Store #692,-3432.55,2026-05-09,Travel and Hotels
POS EASTLINK TV CANADA **4864,-7.27,2025-11-09,Telecom
MASTERCARDOOREDOO5GOMAN*7991,-58.01,2026-05-12,Telecom
ATM Cash DEP TransAlta Canada 421463,-210.62,2026-05-11,Housing and Utilities
TRF TO AL KHUWAIR DENTAL CENTER,-3890.13,2025-12-21,Medical and Health
txn INSTASHOP OMAN,-660.92,2026-02-20,Other / Uncategorized
PUR-BERLITZL,-6659.61,2025-12-03,Education
servicemanitobaKELOWNA,-174.59,2026-05-06,Government Services
CALGARY PUBLIC LIBRARYPOSSTRATFORD ONTARIO,-194.66,2026-01-10,Government Services
ONLINE PURCHASE HALTON REGION WATER,-250.14,2025-11-26,Housing and Utilities
PUR-INTACTFI,-42.65,2026-03-05,Insurance
NOVAS_25,-5314.94,2025-12-06,Loan Payments
TRFTONBOAUTOFINANCE,-271.32,2025-12-04,Vehicle Loans and Fines
Payment:RBCPAYROLLCANADA,36135.24,2026-12-29,Salary / Payroll
MASTERCARD HOMESENSE CANADA *4855,-57.87,2025-12-09,Home Goods and Furniture
PUR-HOCKEYHA,-93.8,2026-04-09,Entertainment and Leisure
MASTERCARD ROGERS ARENA VANCOUVER *4510,-56.03,2026-02-03,Entertainment and Leisure
Apple TV Plus Canada Trnsfr,22.53,2026-03-30,Entertainment and Leisure
Payment:ORANGETHEORYFITNESSCANADA,-3765.58,2026-04-07,Medical and Health
ONLINEPURCHASEMERIDIANRRSPCANADA,-1874.85,2026-05-05,Savings and Investments
TRF TO AL RAHMA MEDICAL CENTER,-1030.48,2026-03-21,Medical and Health
WalletTrx9949582636907LESELECTBISTRO,-225.33,2026-01-08,Dining and Cafes
GUMROAD CANADA_78616,5544.05,2026-02-28,Business or Freelance Income
Transfer from AppleCare Canada,124.82,2025-12-30,Telecom
ZULEKHAHOSPITALOMANPAYMENT,-860.06,2026-04-09,Medical and Health
Wallet Trx 6958148431667 AQUA PURE CANADA,-263.79,2025-12-02,Housing and Utilities
ENBRIDGE GAS CARD*9873,-25.71,2026-02-05,Housing and Utilities
PEEL REGION WATER:REC,-122.63,2025-12-06,Housing and Utilities
www.expediaoman.com,-522.79,2026-04-11,Travel and Hotels
DIABETES CANADA 1505,-4304.88,2026-03-20,Charity Donations
ATM Cash Withdrw Be'ah Environmental Services 815812 16:14:13,-211.52,2025-12-03,Housing and Utilities
NBOCARLOANTXNID:6794133,-3893.34,2026-03-12,Loan Payments
ARMED FORCES PENSION OMANPOSPITT MEADOWS,285.48,2025-04-30,Government Support and Pensions
TileLandOmanStore#722,-127.13,2026-05-01,Home Goods and Furniture
@salammobile,-175.59,2025-12-05,Telecom
AIGOM_67,-279.16,2025-11-12,Insurance
RECEIVED_FROM_Manitoba_Public_Insurance_MPI,359.28,2026-12-29,Insurance
TINGCANADA/JASPER,-131.99,2026-04-26,Telecom
FORTINOSTXNID:9373318,-42.98,2026-01-01,Groceries
Bank Nizwa Murabaha Store #127,-277.64,2026-01-05,Savings and Investments
SALALAH INTERNATIONAL SCHOOL_29231,-982.94,2025-12-12,Education
BEST WESTERN TORONTO SERVICE CHARGE,-1216.94,2026-04-06,Travel and Hotels
PC Financial x7478,-54.91,2026-04-02,Bank Charges
P.F.CHANG'SOMANPAYMENT,-235.29,2026-04-06,Dining and Cafes
AL SHARQ TRANSPORT PAYMENT,-26705.67,2026-01-26,Fuel and Transport
Al Majd Store - payment,-67.06,2026-02-10,Groceries
oabsavingsdepositBAHLA,-1918.95,2026-04-03,Savings and Investments
WAL Cr6480000925701 BM,-119.2,2025-12-08,Shopping & Retail
PUR-MEDICALA,-855.0,2025-12-14,Charity Donations
Wallet Trx 5331547780181 RONALD MCDONALD HOUSE CANADA,-2793.69,2026-03-26,Charity Donations
FAST CAR RENTAL OMAN SERVICE CHARGE,-18533.28,2026-02-03,Fuel and Transport
Pan Emirates Furniture Store #81,-104.45,2025-11-06,Home Goods and Furniture
PAYMENT TO ALBERTA GOVERNMENT SALARY FOR March 2022,13140.39,2026-05-30,Salary / Payroll
Aga Khan Museum Toronto x7055,-36.7,2025-12-11,Entertainment and Leisure
POS RUSTAQ MEDICAL CENTER **6206,-2212.94,2026-01-17,Medical and Health
ONLINE PURCHASE NISSAN FINANCIAL CANADA,-1142.76,2026-03-08,Vehicle Loans and Fines
ATM Cash DEP Mall of Muscat 942450,-7.3,2026-02-08,Entertainment and Leisure
CO-OP GAS CANADA LLC,-15288.19,2026-03-10,Fuel and Transport
POS676072-MODOCARCO-OP-385POBOX191,-31176.79,2026-04-05,Fuel and Transport
AL ANSAB SUPERMARKETPOSEDMONTON,-113.53,2026-02-10,Groceries
ATM Cash Withdrw Al Hamra Furniture 285887 14:20:43,-331.86,2026-02-05,Home Goods and Furniture
nature conservancy canada debit,-8488.72,2025-11-18,Charity Donations
ZOOM SUBSCRIPTION OMAN:REC,-523.85,2026-04-04,Other / Uncategorized
PROMUTUELCANADA/LETHBRIDGE,-145.4,2026-02-10,Insurance
GULF HOMES REAL ESTATE:TRF,-241.64,2026-03-08,Rent Payments
TRF MARBLE FINANCIAL CANADA,-12157.0,2026-01-10,Loan Payments
E-TRANSFERGIANTTIGERCANADA,-37.74,2025-12-10,Shopping & Retail
North York Harvest Food Bank x7986,-9016.82,2026-03-04,Charity Donations
@almeerahome,-228.03,2026-04-23,Home Goods and Furniture
GIC INVESTMENT CIBCPOSPITT MEADOWS,-603.71,2025-11-15,Savings and Investments
ROYAL LEPAGE CANADAPOSWINDSOR ONTARIO,-621.69,2026-05-08,Rent Payments
MONTA_44,-60.04,2026-05-01,Dining and Cafes
ATMCashDEP407ETRHighwayCanada448648,-42480.52,2026-04-03,Fuel and Transport
PAYMENT TO HIGHWAY 400 INCIDENT CANADA FOR December 2025,-9969.84,2025-11-05,Vehicle Loans and Fines
ROBERTSON COLLEGE CANADA / NORTH YORK,-1788.89,2026-01-16,Education
TRF PERKINS CANADA,-50.74,2025-12-14,Dining and Cafes
ATMCashDEPRestorationHardwareCanada573079,-66.77,2025-12-10,Home Goods and Furniture
PROGRESSA CANADAPOSEDMONTON,-7553.93,2025-12-10,Loan Payments
POS PURCHASE PACIFIC COASTAL AIRLINES Jul 19,-2545.21,2026-02-08,Travel and Hotels
Transfer from JW Marriott Toronto,1793.48,2026-04-28,Travel and Hotels
Payment:EQ BANK TFSA,-1245.23,2026-03-06,Savings and Investments
MASTERCARD MINISTRY OF EDUCATION OMAN *8694,-277.08,2026-01-10,Government Services
TRF TO BANK DHOFAR HOME LOAN,-10978.29,2026-04-24,Loan Payments
PUR-BMOLINEO,-11698.34,2026-04-06,Loan Payments
@wealthsimplerrsp,-989.72,2026-05-22,Savings and Investments
Al Hayat Medical Center Trnsfr,1796.12,2026-04-30,Medical and Health
BANKDHOFARBRANCHES#7437,-82.72,2026-05-06,Bank Charges
SASKATCHEWAN SOCIAL ASSISTANCE#1269,492.79,2026-02-28,Government Support and Pensions
Bank Muscat Business Loan Trnsfr,10998.29,2026-04-29,Loan Payments
Wallet Trx 4925467161450 DAVE AND BUSTERS CANADA,-79.79,2025-12-06,Entertainment and Leisure
www.playnationoman.com,-19.15,2026-01-08,Entertainment and Leisure
APPLE MUSIC OMANPOSKELOWNA,-300.79,2026-03-17,Other / Uncategorized
ONLINEPURCHASECAMBRIANCOLLEGE,-10243.98,2025-12-21,Education
POS CAPITAL MARKET AUTHORITY OMAN **2010,-886.12,2026-04-27,Government Services
INTERAC UNIVERSITY OF WESTERN ONTARIO CHILLIWACK,-12981.3,2026-05-08,Education
Netflix Canada Sub Trnsfr,923.26,2026-02-28,Other / Uncategorized
www.canaccordgenuitycanada.com,-1329.07,2026-03-06,Savings and Investments
TRF NBO FIXED DEPOSIT,-1418.93,2026-01-01,Savings and Investments
ONLINE PURCHASE RURAL AREAS ELECTRICITY COMPANY,-83.7,2026-02-18,Housing and Utilities
ATM Cash Withdrw On Running Canada 216856 14:39:38,-230.82,2026-01-10,Shopping & Retail
COLLAGE HR CANADA CARD*3870,25528.07,2025-05-30,Salary / Payroll
@brownssocialhouse,-295.26,2025-12-03,Dining and Cafes
PAYMENT TO STOP PAYMENT FEE CANADA FOR March 2025,-357.37,2025-11-07,Bank Charges
IBRI COOPERATIVE TXNID:6527834,-140.27,2026-02-26,Groceries
DOMAIN REGISTRATION OMAN LTD,-695.66,2026-01-03,Other / Uncategorized
FOODFORALLOMANCARD*4825,-299.19,2026-05-17,Charity Donations
WalletTrx4156527465687OMANOIL,-2495.66,2026-04-23,Fuel and Transport
RECEIPTRUSTAQMARKETPETERBOROUGH,-241.94,2026-03-07,Groceries
POS293501-DELTAHOTELSTORONTO-922POBOX235,-2683.69,2026-02-10,Travel and Hotels
ATM Cash Withdrw Fusion Kitchen 323099 02:41:55,-126.54,2025-12-07,Dining and Cafes
ENERCARECANADA*5490,-118.53,2025-12-23,Housing and Utilities
WAL Cr8883212750348 BM,-203.13,2026-03-05,Bank Charges
AL HABIB REAL ESTATEPOSPRINCE ALBERT,-1166.27,2025-12-07,Rent Payments
MUSCAT PROPERTIES CO PAYMENT,-1502.28,2025-12-09,Rent Payments
PAYMENT TO CENTRECOURT DEVELOPMENTS CANADA FOR October 2020,-1370.06,2026-05-11,Rent Payments
aeropostaleomanHAWKESBURY,-296.98,2026-01-09,Shopping & Retail
ONLINE PURCHASE MOUNT SINAI HOSPITAL TORONTO,-4506.93,2025-12-18,Medical and Health
Payment:DUNKINDONUTSOMAN,-207.49,2026-04-26,Dining and Cafes
POS438118-thw-albertaincomesupport,196.09,2026-01-30,Government Support and Pensions
SCOTIABANK INSURANCE CANADA_DRU,-35.48,2026-04-12,Insurance
WALCr9440912163988BM,181.93,2026-04-30,Government Support and Pensions
MASTERCARDRBCLINEOFCREDITCANADA*5157,4333.84,2026-12-29,Loan Payments
POS 527970-AL SHARQ TRANSPORT - 313 P O BOX 152,-5731.35,2026-01-01,Fuel and Transport
OTTAWA HOSPITAL LTD,-3189.08,2026-03-13,Medical and Health
RECEIVED_FROM_Fins_Scuba_Diving_Oman,31.31,2026-03-29,Entertainment and Leisure
E-TRANSFERMARINAHOMEOMAN,-268.09,2026-03-25,Home Goods and Furniture
WAL Cr6403992899914 BM,413.18,2025-12-29,Government Support and Pensions
@livingspacesoman,-419.77,2026-02-25,Home Goods and Furniture
PUR-RIFCONAT,-10550.49,2026-03-12,Vehicle Loans and Fines
Bank Of Muscat Branches Store #359,-90.88,2025-12-10,Bank Charges
WalletTrx9798393721292ICASHCANADA,-18147.44,2025-11-07,Loan Payments
POS 274931-thw-forestersfinancialcanada,-764.01,2025-11-16,Insurance
ROYAL HOSPITAL PHARMACY / PITT MEADOWS,-3250.17,2026-02-04,Medical and Health
E-TRANSFER WORKDAY HCM PAYROLL,11444.09,2026-12-30,Salary / Payroll
@alhayatmedicalcenter,-4361.29,2026-02-23,Medical and Health
MASTERCARDENERGIRQUEBEC*8658,-227.71,2026-01-02,Housing and Utilities
POS249242-thw-qualitymart,-105.02,2025-11-01,Groceries
PUR-CAMHFOUN,-5627.6,2025-11-09,Charity Donations
ROYTHOMSONHALLINC,-67.64,2025-12-09,Entertainment and Leisure
MARCIL CANADA:REC,-446.16,2025-12-01,Home Goods and Furniture
PAYMENT TO PARKINSON CANADA FOR March 2022,-1482.41,2026-04-01,Charity Donations
XBOX GAME PASS SUB_TRE,-200.93,2026-01-09,Other / Uncategorized
